sample	R1_filenames	R2_filenames
SRR9276323	SRR9276323_pass_1.fastq.gz	SRR9276323_pass_2.fastq.gz
SRR9276324	SRR9276324_pass_1.fastq.gz	SRR9276324_pass_2.fastq.gz
SRR9276325	SRR9276325_pass_1.fastq.gz	SRR9276325_pass_2.fastq.gz
SRR9276326	SRR9276326_pass_1.fastq.gz	SRR9276326_pass_2.fastq.gz
SRR9276335	SRR9276335_pass_1.fastq.gz	SRR9276335_pass_2.fastq.gz
SRR9276336	SRR9276336_pass_1.fastq.gz	SRR9276336_pass_2.fastq.gz
SRR9276337	SRR9276337_pass_1.fastq.gz	SRR9276337_pass_2.fastq.gz
SRR9276338	SRR9276338_pass_1.fastq.gz	SRR9276338_pass_2.fastq.gz
SRR9276339	SRR9276339_pass_1.fastq.gz	SRR9276339_pass_2.fastq.gz
SRR9276340	SRR9276340_pass_1.fastq.gz	SRR9276340_pass_2.fastq.gz
SRR9276341	SRR9276341_pass_1.fastq.gz	SRR9276341_pass_2.fastq.gz
SRR9276342	SRR9276342_pass_1.fastq.gz	SRR9276342_pass_2.fastq.gz
SRR9276343	SRR9276343_pass_1.fastq.gz	SRR9276343_pass_2.fastq.gz
SRR9276344	SRR9276344_pass_1.fastq.gz	SRR9276344_pass_2.fastq.gz
SRR9276345	SRR9276345_pass_1.fastq.gz	SRR9276345_pass_2.fastq.gz
SRR9276346	SRR9276346_pass_1.fastq.gz	SRR9276346_pass_2.fastq.gz
SRR9276347	SRR9276347_pass_1.fastq.gz	SRR9276347_pass_2.fastq.gz
SRR9276356	SRR9276356_pass_1.fastq.gz	SRR9276356_pass_2.fastq.gz
SRR9276359	SRR9276359_pass_1.fastq.gz	SRR9276359_pass_2.fastq.gz
SRR9276360	SRR9276360_pass_1.fastq.gz	SRR9276360_pass_2.fastq.gz
SRR9276361	SRR9276361_pass_1.fastq.gz	SRR9276361_pass_2.fastq.gz
SRR9276362	SRR9276362_pass_1.fastq.gz	SRR9276362_pass_2.fastq.gz
SRR9276363	SRR9276363_pass_1.fastq.gz	SRR9276363_pass_2.fastq.gz
SRR9276364	SRR9276364_pass_1.fastq.gz	SRR9276364_pass_2.fastq.gz
SRR9276365	SRR9276365_pass_1.fastq.gz	SRR9276365_pass_2.fastq.gz
SRR9276366	SRR9276366_pass_1.fastq.gz	SRR9276366_pass_2.fastq.gz
SRR9276367	SRR9276367_pass_1.fastq.gz	SRR9276367_pass_2.fastq.gz
SRR9276368	SRR9276368_pass_1.fastq.gz	SRR9276368_pass_2.fastq.gz
SRR9276369	SRR9276369_pass_1.fastq.gz	SRR9276369_pass_2.fastq.gz
