sample	R1_filenames	R2_filenames
ERR260180	ERR260180_pass_1.fastq.gz	ERR260180_pass_2.fastq.gz
ERR260181	ERR260181_pass_1.fastq.gz	ERR260181_pass_2.fastq.gz
ERR260182	ERR260182_pass_1.fastq.gz	ERR260182_pass_2.fastq.gz
ERR260183	ERR260183_pass_1.fastq.gz	ERR260183_pass_2.fastq.gz
ERR260184	ERR260184_pass_1.fastq.gz	ERR260184_pass_2.fastq.gz
ERR260185	ERR260185_pass_1.fastq.gz	ERR260185_pass_2.fastq.gz
ERR260186	ERR260186_pass_1.fastq.gz	ERR260186_pass_2.fastq.gz
ERR260187	ERR260187_pass_1.fastq.gz	ERR260187_pass_2.fastq.gz
ERR260188	ERR260188_pass_1.fastq.gz	ERR260188_pass_2.fastq.gz
ERR260189	ERR260189_pass_1.fastq.gz	ERR260189_pass_2.fastq.gz
ERR260190	ERR260190_pass_1.fastq.gz	ERR260190_pass_2.fastq.gz
ERR260191	ERR260191_pass_1.fastq.gz	ERR260191_pass_2.fastq.gz
ERR260192	ERR260192_pass_1.fastq.gz	ERR260192_pass_2.fastq.gz
ERR260193	ERR260193_pass_1.fastq.gz	ERR260193_pass_2.fastq.gz
ERR260194	ERR260194_pass_1.fastq.gz	ERR260194_pass_2.fastq.gz
ERR260195	ERR260195_pass_1.fastq.gz	ERR260195_pass_2.fastq.gz
ERR260196	ERR260196_pass_1.fastq.gz	ERR260196_pass_2.fastq.gz
ERR260197	ERR260197_pass_1.fastq.gz	ERR260197_pass_2.fastq.gz
ERR260198	ERR260198_pass_1.fastq.gz	ERR260198_pass_2.fastq.gz
ERR260199	ERR260199_pass_1.fastq.gz	ERR260199_pass_2.fastq.gz
ERR260200	ERR260200_pass_1.fastq.gz	ERR260200_pass_2.fastq.gz
ERR260201	ERR260201_pass_1.fastq.gz	ERR260201_pass_2.fastq.gz
ERR260202	ERR260202_pass_1.fastq.gz	ERR260202_pass_2.fastq.gz
ERR260203	ERR260203_pass_1.fastq.gz	ERR260203_pass_2.fastq.gz
ERR260204	ERR260204_pass_1.fastq.gz	ERR260204_pass_2.fastq.gz
ERR260205	ERR260205_pass_1.fastq.gz	ERR260205_pass_2.fastq.gz
ERR260206	ERR260206_pass_1.fastq.gz	ERR260206_pass_2.fastq.gz
ERR260207	ERR260207_pass_1.fastq.gz	ERR260207_pass_2.fastq.gz
ERR260208	ERR260208_pass_1.fastq.gz	ERR260208_pass_2.fastq.gz
ERR260209	ERR260209_pass_1.fastq.gz	ERR260209_pass_2.fastq.gz
ERR260210	ERR260210_pass_1.fastq.gz	ERR260210_pass_2.fastq.gz
ERR260211	ERR260211_pass_1.fastq.gz	ERR260211_pass_2.fastq.gz
ERR260214	ERR260214_pass_1.fastq.gz	ERR260214_pass_2.fastq.gz
ERR260215	ERR260215_pass_1.fastq.gz	ERR260215_pass_2.fastq.gz
ERR260216	ERR260216_pass_1.fastq.gz	ERR260216_pass_2.fastq.gz
ERR260217	ERR260217_pass_1.fastq.gz	ERR260217_pass_2.fastq.gz
ERR260218	ERR260218_pass_1.fastq.gz	ERR260218_pass_2.fastq.gz
ERR260219	ERR260219_pass_1.fastq.gz	ERR260219_pass_2.fastq.gz
ERR260220	ERR260220_pass_1.fastq.gz	ERR260220_pass_2.fastq.gz
ERR260221	ERR260221_pass_1.fastq.gz	ERR260221_pass_2.fastq.gz
ERR260222	ERR260222_pass_1.fastq.gz	ERR260222_pass_2.fastq.gz
ERR260223	ERR260223_pass_1.fastq.gz	ERR260223_pass_2.fastq.gz
ERR260224	ERR260224_pass_1.fastq.gz	ERR260224_pass_2.fastq.gz
ERR260225	ERR260225_pass_1.fastq.gz	ERR260225_pass_2.fastq.gz
ERR260226	ERR260226_pass_1.fastq.gz	ERR260226_pass_2.fastq.gz
ERR260227	ERR260227_pass_1.fastq.gz	ERR260227_pass_2.fastq.gz
ERR260228	ERR260228_pass_1.fastq.gz	ERR260228_pass_2.fastq.gz
ERR260229	ERR260229_pass_1.fastq.gz	ERR260229_pass_2.fastq.gz
ERR260230	ERR260230_pass_1.fastq.gz	ERR260230_pass_2.fastq.gz
ERR260231	ERR260231_pass_1.fastq.gz	ERR260231_pass_2.fastq.gz
ERR260232	ERR260232_pass_1.fastq.gz	ERR260232_pass_2.fastq.gz
ERR260233	ERR260233_pass_1.fastq.gz	ERR260233_pass_2.fastq.gz
ERR260234	ERR260234_pass_1.fastq.gz	ERR260234_pass_2.fastq.gz
ERR260235	ERR260235_pass_1.fastq.gz	ERR260235_pass_2.fastq.gz
ERR260236	ERR260236_pass_1.fastq.gz	ERR260236_pass_2.fastq.gz
ERR260237	ERR260237_pass_1.fastq.gz	ERR260237_pass_2.fastq.gz
ERR260238	ERR260238_pass_1.fastq.gz	ERR260238_pass_2.fastq.gz
ERR260239	ERR260239_pass_1.fastq.gz	ERR260239_pass_2.fastq.gz
ERR260240	ERR260240_pass_1.fastq.gz	ERR260240_pass_2.fastq.gz
ERR260241	ERR260241_pass_1.fastq.gz	ERR260241_pass_2.fastq.gz
ERR260242	ERR260242_pass_1.fastq.gz	ERR260242_pass_2.fastq.gz
ERR260243	ERR260243_pass_1.fastq.gz	ERR260243_pass_2.fastq.gz
ERR260244	ERR260244_pass_1.fastq.gz	ERR260244_pass_2.fastq.gz
ERR260245	ERR260245_pass_1.fastq.gz	ERR260245_pass_2.fastq.gz
ERR260246	ERR260246_pass_1.fastq.gz	ERR260246_pass_2.fastq.gz
ERR260247	ERR260247_pass_1.fastq.gz	ERR260247_pass_2.fastq.gz
ERR260248	ERR260248_pass_1.fastq.gz	ERR260248_pass_2.fastq.gz
ERR260249	ERR260249_pass_1.fastq.gz	ERR260249_pass_2.fastq.gz
ERR260250	ERR260250_pass_1.fastq.gz	ERR260250_pass_2.fastq.gz
ERR260251	ERR260251_pass_1.fastq.gz	ERR260251_pass_2.fastq.gz
ERR260252	ERR260252_pass_1.fastq.gz	ERR260252_pass_2.fastq.gz
ERR260253	ERR260253_pass_1.fastq.gz	ERR260253_pass_2.fastq.gz
ERR260254	ERR260254_pass_1.fastq.gz	ERR260254_pass_2.fastq.gz
ERR260255	ERR260255_pass_1.fastq.gz	ERR260255_pass_2.fastq.gz
ERR260256	ERR260256_pass_1.fastq.gz	ERR260256_pass_2.fastq.gz
ERR260257	ERR260257_pass_1.fastq.gz	ERR260257_pass_2.fastq.gz
ERR260258	ERR260258_pass_1.fastq.gz	ERR260258_pass_2.fastq.gz
ERR260259	ERR260259_pass_1.fastq.gz	ERR260259_pass_2.fastq.gz
ERR260260	ERR260260_pass_1.fastq.gz	ERR260260_pass_2.fastq.gz
ERR260261	ERR260261_pass_1.fastq.gz	ERR260261_pass_2.fastq.gz
ERR260262	ERR260262_pass_1.fastq.gz	ERR260262_pass_2.fastq.gz
ERR260263	ERR260263_pass_1.fastq.gz	ERR260263_pass_2.fastq.gz
ERR260264	ERR260264_pass_1.fastq.gz	ERR260264_pass_2.fastq.gz
ERR260265	ERR260265_pass_1.fastq.gz	ERR260265_pass_2.fastq.gz
ERR260266	ERR260266_pass_1.fastq.gz	ERR260266_pass_2.fastq.gz
ERR260267	ERR260267_pass_1.fastq.gz	ERR260267_pass_2.fastq.gz
ERR260268	ERR260268_pass_1.fastq.gz	ERR260268_pass_2.fastq.gz
ERR260269	ERR260269_pass_1.fastq.gz	ERR260269_pass_2.fastq.gz
ERR260270	ERR260270_pass_1.fastq.gz	ERR260270_pass_2.fastq.gz
ERR260271	ERR260271_pass_1.fastq.gz	ERR260271_pass_2.fastq.gz
ERR260272	ERR260272_pass_1.fastq.gz	ERR260272_pass_2.fastq.gz
ERR260273	ERR260273_pass_1.fastq.gz	ERR260273_pass_2.fastq.gz
ERR260274	ERR260274_pass_1.fastq.gz	ERR260274_pass_2.fastq.gz
ERR260275	ERR260275_pass_1.fastq.gz	ERR260275_pass_2.fastq.gz
ERR260276	ERR260276_pass_1.fastq.gz	ERR260276_pass_2.fastq.gz
ERR275251	ERR275251_pass_1.fastq.gz	ERR275251_pass_2.fastq.gz
ERR275252	ERR275252_pass_1.fastq.gz	ERR275252_pass_2.fastq.gz
