sample	R1_filenames	R2_filenames
SRR341693	SRR341693_pass_1.fastq.gz	SRR341693_pass_2.fastq.gz
SRR341713	SRR341713_pass_1.fastq.gz	SRR341713_pass_2.fastq.gz
SRR413575	SRR413575_pass_1.fastq.gz	SRR413575_pass_2.fastq.gz
SRR413576	SRR413576_pass_1.fastq.gz	SRR413576_pass_2.fastq.gz
SRR413578	SRR413578_pass_1.fastq.gz	SRR413578_pass_2.fastq.gz
SRR413579	SRR413579_pass_1.fastq.gz	SRR413579_pass_2.fastq.gz
SRR413580	SRR413580_pass_1.fastq.gz	SRR413580_pass_2.fastq.gz
SRR413581	SRR413581_pass_1.fastq.gz	SRR413581_pass_2.fastq.gz
SRR413582	SRR413582_pass_1.fastq.gz	SRR413582_pass_2.fastq.gz
SRR413584	SRR413584_pass_1.fastq.gz	SRR413584_pass_2.fastq.gz
SRR413585	SRR413585_pass_1.fastq.gz	SRR413585_pass_2.fastq.gz
SRR413587	SRR413587_pass_1.fastq.gz	SRR413587_pass_2.fastq.gz
SRR413592	SRR413592_pass_1.fastq.gz	SRR413592_pass_2.fastq.gz
SRR413593	SRR413593_pass_1.fastq.gz	SRR413593_pass_2.fastq.gz
SRR413594	SRR413594_pass_1.fastq.gz	SRR413594_pass_2.fastq.gz
SRR413597	SRR413597_pass_1.fastq.gz	SRR413597_pass_2.fastq.gz
SRR413598	SRR413598_pass_1.fastq.gz	SRR413598_pass_2.fastq.gz
SRR413599	SRR413599_pass_1.fastq.gz	SRR413599_pass_2.fastq.gz
SRR413600	SRR413600_pass_1.fastq.gz	SRR413600_pass_2.fastq.gz
SRR413601	SRR413601_pass_1.fastq.gz	SRR413601_pass_2.fastq.gz
SRR413603	SRR413603_pass_1.fastq.gz	SRR413603_pass_2.fastq.gz
SRR413605	SRR413605_pass_1.fastq.gz	SRR413605_pass_2.fastq.gz
SRR413606	SRR413606_pass_1.fastq.gz	SRR413606_pass_2.fastq.gz
SRR413607	SRR413607_pass_1.fastq.gz	SRR413607_pass_2.fastq.gz
SRR413608	SRR413608_pass_1.fastq.gz	SRR413608_pass_2.fastq.gz
SRR413610	SRR413610_pass_1.fastq.gz	SRR413610_pass_2.fastq.gz
SRR413613	SRR413613_pass_1.fastq.gz	SRR413613_pass_2.fastq.gz
SRR413614	SRR413614_pass_1.fastq.gz	SRR413614_pass_2.fastq.gz
SRR413615	SRR413615_pass_1.fastq.gz	SRR413615_pass_2.fastq.gz
SRR413616	SRR413616_pass_1.fastq.gz	SRR413616_pass_2.fastq.gz
SRR413617	SRR413617_pass_1.fastq.gz	SRR413617_pass_2.fastq.gz
SRR413618	SRR413618_pass_1.fastq.gz	SRR413618_pass_2.fastq.gz
SRR413619	SRR413619_pass_1.fastq.gz	SRR413619_pass_2.fastq.gz
SRR413620	SRR413620_pass_1.fastq.gz	SRR413620_pass_2.fastq.gz
SRR413621	SRR413621_pass_1.fastq.gz	SRR413621_pass_2.fastq.gz
SRR413623	SRR413623_pass_1.fastq.gz	SRR413623_pass_2.fastq.gz
SRR413625	SRR413625_pass_1.fastq.gz	SRR413625_pass_2.fastq.gz
SRR413626	SRR413626_pass_1.fastq.gz	SRR413626_pass_2.fastq.gz
SRR413634	SRR413634_pass_1.fastq.gz	SRR413634_pass_2.fastq.gz
SRR413637	SRR413637_pass_1.fastq.gz	SRR413637_pass_2.fastq.gz
SRR413642	SRR413642_pass_1.fastq.gz	SRR413642_pass_2.fastq.gz
SRR413652	SRR413652_pass_1.fastq.gz	SRR413652_pass_2.fastq.gz
SRR413660	SRR413660_pass_1.fastq.gz	SRR413660_pass_2.fastq.gz
SRR413661	SRR413661_pass_1.fastq.gz	SRR413661_pass_2.fastq.gz
SRR413670	SRR413670_pass_1.fastq.gz	SRR413670_pass_2.fastq.gz
SRR413688	SRR413688_pass_1.fastq.gz	SRR413688_pass_2.fastq.gz
SRR413758	SRR413758_pass_1.fastq.gz	SRR413758_pass_2.fastq.gz
SRR413768	SRR413768_pass_1.fastq.gz	SRR413768_pass_2.fastq.gz
